zone_code,geography
AG,"POLYGON((-80.33774639 25.61237729, -80.33724289 25.6123923, -80.33732918 25.6142574, -80.33785937 25.61424501, -80.33774639 25.61237729))"
AG,"POLYGON((-80.32545532 25.61180688, -80.32548433 25.61225376, -80.32596602 25.61224842, -80.32649395 25.61222919, -80.32647522 25.61175978, -80.32639724 25.61176349, -80.32545532 25.61180688))"
AG,"POLYGON((-80.33682932 25.61426897, -80.33581201 25.61429343, -80.33560831 25.61057003, -80.3345807 25.61058809, -80.33475325 25.61431934, -80.33476209 25.61472948, -80.33484227 25.61615321, -80.33686547 25.61608022, -80.33693398 25.61608512, -80.33682932 25.61426897))"
AG,"POLYGON((-80.34165568 25.60945641, -80.34160484 25.60852361, -80.34058261 25.60855362, -80.34063324 25.6094892, -80.34165568 25.60945641))"
AG,"POLYGON((-80.33444666 25.60775794, -80.33449015 25.60870775, -80.3355041 25.60868387, -80.33546575 25.60773461, -80.33511508 25.60774289, -80.33444666 25.60775794))"
AG,"POLYGON((-80.3334445 25.63564646, -80.33297424 25.63565894, -80.33299526 25.63640152, -80.3334582 25.63639232, -80.3334445 25.63564646))"
AG,"POLYGON((-80.32773126 25.6160046, -80.32721842 25.6160392, -80.32724877 25.61638461, -80.32773169 25.61636624, -80.32773126 25.6160046))"
AG,"POLYGON((-80.3386426 25.61009757, -80.33866391 25.6105081, -80.33968448 25.61046968, -80.33965968 25.61005826, -80.33865337 25.61009715, -80.3386426 25.61009757))"
AG,"POLYGON((-80.33938481 25.62338557, -80.33889107 25.62339954, -80.33891274 25.62414386, -80.33942437 25.62413162, -80.33938481 25.62338557))"
AU,"POLYGON((-80.41668642488 25.5143653592285, -80.4167074939667 25.5151607003904, -80.4176659146282 25.5161619697199, -80.4179189305178 25.5161586547797, -80.4186289355622 25.5161493495985, -80.4186260366988 25.5157904964144, -80.4186124658498 25.5143589959721, -80.41668642488 25.5143653592285))"
AU,"POLYGON((-80.3965969689899 25.5495957065439, -80.3955719840642 25.5496069980266, -80.3956079813543 25.5505556554585, -80.396307918081 25.5505517109272, -80.396605525443 25.5502817951048, -80.396597000431 25.5495982481812, -80.3965969689899 25.5495957065439))"
