county,zoning_source,zone_code,geometry,fillColor,stroke,stroke-width
Pinellas,pinellas_belleair_zoning,GC,"POLYGON((-82.80349101 27.9247337, -82.8034427 27.92554393, -82.80339211 27.92577762, -82.80332918 27.92677805, -82.80434437 27.92802088, -82.80669674 27.93010875, -82.80642313 27.93035196, -82.80671116 27.93059445, -82.80686118 27.93070823, -82.80717236 27.93092019, -82.80733316 27.93101813, -82.80758032 27.93115337, -82.8083528 27.93150853, -82.80922996 27.93002262, -82.80837808 27.92962946, -82.80882386 27.92887434, -82.80848156 27.92871381, -82.80862535 27.92847022, -82.80892113 27.9282357, -82.80896992 27.92788648, -82.80998187 27.92617217, -82.80765282 27.92457116, -82.8035026 27.92453924, -82.80349101 27.9247337))","rgb(156,169,53)",#747474,3
Pinellas,pinellas_belleair_zoning,P,"POLYGON((-82.80067251 27.93716334, -82.80067293 27.93699816, -82.8003368 27.93699584, -82.80033495 27.93716106, -82.80067251 27.93716334))","rgb(94,198,153)",#747474,3
Pinellas,pinellas_belleair_zoning,P,"POLYGON((-82.81024741 27.93350382, -82.8102931 27.93345052, -82.81030329 27.93341231, -82.81029676 27.93337885, -82.81026923 27.93333994, -82.80979928 27.93311568, -82.80976681 27.93311587, -82.80973966 27.93312813, -82.80957615 27.93339798, -82.80957321 27.93342498, -82.8095903 27.93346861, -82.80963033 27.93349815, -82.80965864 27.93350263, -82.81024741 27.93350382))","rgb(94,198,153)",#747474,3
Pinellas,pinellas_belleair_zoning,P,"POLYGON((-82.80702648 27.93699344, -82.80718415 27.93699485, -82.80702831 27.93688608, -82.80702648 27.93699344))","rgb(94,198,153)",#747474,3
Pinellas,pinellas_belleair_zoning,P,"POLYGON((-82.80035789 27.94052717, -82.80026226 27.94046631, -82.80025547 27.94006795, -82.80009364 27.94006649, -82.80010439 27.94201008, -82.800123 27.94178523, -82.80016851 27.94179465, -82.80020682 27.94141461, -82.80022388 27.94109041, -82.80032998 27.94105198, -82.80028977 27.94091445, -82.80028202 27.94070945, -82.80028748 27.94065841, -82.80030838 27.94059782, -82.80035789 27.94052717))","rgb(94,198,153)",#747474,3
Pinellas,pinellas_belleair_zoning,P,"POLYGON((-82.80554236 27.93612406, -82.80589501 27.93611914, -82.8059129 27.93610189, -82.80591073 27.93606875, -82.80573408 27.93594175, -82.80554236 27.93612406))","rgb(94,198,153)",#747474,3
Pinellas,pinellas_belleair_zoning,P,"POLYGON((-82.80421547 27.93530725, -82.80420028 27.93529088, -82.80417305 27.93527861, -82.80414271 27.93528452, -82.80412702 27.93530745, -82.80408434 27.93609078, -82.80409901 27.93611195, -82.80413378 27.93612368, -82.80416221 27.9361154, -82.80418233 27.93608671, -82.80421547 27.93530725))","rgb(94,198,153)",#747474,3
Pinellas,pinellas_belleair_zoning,P,"POLYGON((-82.81258542 27.9359681, -82.81277863 27.93631843, -82.81310041 27.93664228, -82.8132218 27.93653069, -82.81334818 27.93639858, -82.81299287 27.93612884, -82.81271534 27.93586948, -82.81258542 27.9359681))","rgb(94,198,153)",#747474,3
Pinellas,pinellas_belleair_zoning,P,"POLYGON((-82.81941929 27.92712026, -82.81993563 27.92746386, -82.82005749 27.92729113, -82.8201064 27.92715313, -82.81962694 27.92686255, -82.81941929 27.92712026))","rgb(94,198,153)",#747474,3
Pinellas,pinellas_belleair_zoning,P,"POLYGON((-82.8025962 27.9365721, -82.80289938 27.93657419, -82.80295844 27.93653412, -82.80296169 27.93621575, -82.802554 27.93621208, -82.80255076 27.93653007, -82.8025962 27.9365721))","rgb(94,198,153)",#747474,3
